,country,year,gender,gold,silver,bronze,total
688,Philippines,1992,male,0,0,1,1
689,Puerto Rico,1992,male,0,0,1,1
690,Qatar,1992,male,0,0,1,1
691,Suriname,1992,male,0,0,1,1
692,Thailand,1992,male,0,0,1,1
693,The Bahamas,1992,male,0,0,1,1
694,Unified Team,1996,male,28,22,15,65
695,United States,1996,male,16,18,15,49
696,Germany,1996,male,10,7,14,31
697,Cuba,1996,male,10,3,6,19
698,Hungary,1996,male,6,6,6,18
699,Republic of Korea,1996,male,5,3,7,15
700,Spain,1996,male,5,3,1,9
701,France,1996,male,4,4,7,15
702,Czechoslovakia,1996,male,4,1,1,6
703,Democratic People's Republic of Korea,1996,male,4,0,3,7
704,People's Republic of China,1996,male,3,6,7,16
705,Australia,1996,male,3,4,3,10
706,Bulgaria,1996,male,3,4,3,10
707,Italy,1996,male,3,2,5,10
708,Japan,1996,male,2,4,5,11
709,Poland,1996,male,2,4,5,11
710,Kenya,1996,male,2,4,2,8
711,Canada,1996,male,2,3,3,8
712,Great Britain,1996,male,2,2,5,9
713,Türkiye,1996,male,2,2,1,5
714,Sweden,1996,male,1,3,3,7
715,Norway,1996,male,1,2,1,4
716,Finland,1996,male,1,1,2,4
717,Indonesia,1996,male,1,1,1,3
718,Morocco,1996,male,1,1,1,3
719,Brazil,1996,male,1,1,0,2
720,Ireland,1996,male,1,1,0,2
721,Greece,1996,male,1,0,0,1
722,Lithuania,1996,male,1,0,0,1
723,Switzerland,1996,male,1,0,0,1
724,Netherlands,1996,male,0,4,2,6
725,Latvia,1996,male,0,2,1,3
726,Namibia,1996,male,0,2,0,2
727,Nigeria,1996,male,0,2,0,2
728,New Zealand,1996,male,0,1,4,5
729,Islamic Republic of Iran,1996,male,0,1,2,3
730,Jamaica,1996,male,0,1,0,1
731,Mexico,1996,male,0,1,0,1
732,Peru,1996,male,0,1,0,1
733,Romania,1996,male,0,0,4,4
734,Denmark,1996,male,0,0,2,2
735,Ethiopia,1996,male,0,0,2,2
736,Algeria,1996,male,0,0,1,1
737,Belgium,1996,male,0,0,1,1
738,Croatia,1996,male,0,0,1,1
739,Independent Olympic Athletes,1996,male,0,0,1,1
740,Israel,1996,male,0,0,1,1
741,Mongolia,1996,male,0,0,1,1
742,Philippines,1996,male,0,0,1,1
743,Puerto Rico,1996,male,0,0,1,1
744,Qatar,1996,male,0,0,1,1
745,Suriname,1996,male,0,0,1,1
746,Thailand,1996,male,0,0,1,1
747,The Bahamas,1996,male,0,0,1,1
748,Russian Federation,2000,male,17,10,19,46
749,United States,2000,male,15,13,13,41
750,Cuba,2000,male,8,6,4,18
751,People's Republic of China,2000,male,8,4,5,17
752,France,2000,male,6,6,5,17
753,Great Britain,2000,male,6,4,1,11
754,Germany,2000,male,5,10,8,23
755,Australia,2000,male,4,10,6,20
756,Italy,2000,male,4,3,6,13
757,Greece,2000,male,4,3,1,8
758,Netherlands,2000,male,4,1,2,7
759,Republic of Korea,2000,male,3,6,3,12
760,Bulgaria,2000,male,3,5,2,10
761,Japan,2000,male,3,2,0,5
762,Poland,2000,male,3,1,1,5
763,Sweden,2000,male,3,1,1,5
764,Ethiopia,2000,male,3,0,2,5
765,Islamic Republic of Iran,2000,male,3,0,1,4
766,Türkiye,2000,male,3,0,1,4
767,Kazakhstan,2000,male,2,4,0,6
768,Kenya,2000,male,2,3,1,6
769,Hungary,2000,male,2,2,1,5
770,Spain,2000,male,2,2,0,4
771,Canada,2000,male,2,1,3,6
772,Romania,2000,male,2,1,2,5
773,Norway,2000,male,2,0,1,3
774,Ukraine,2000,male,1,5,6,12
775,Czechia,2000,male,1,3,2,6
776,Uzbekistan,2000,male,1,1,2,4
777,Finland,2000,male,1,1,1,3
778,Latvia,2000,male,1,1,1,3
779,Estonia,2000,male,1,0,2,3
780,New Zealand,2000,male,1,0,2,3
781,Azerbaijan,2000,male,1,0,1,2
782,Thailand,2000,male,1,0,1,2
783,Austria,2000,male,1,0,0,1
784,Croatia,2000,male,1,0,0,1
785,Lithuania,2000,male,1,0,0,1
786,Slovenia,2000,male,1,0,0,1
787,Brazil,2000,male,0,3,0,3
788,Mexico,2000,male,0,2,3,5
789,Switzerland,2000,male,0,2,1,3
790,Denmark,2000,male,0,2,0,2
791,Belarus,2000,male,0,1,8,9
792,Algeria,2000,male,0,1,3,4
793,Morocco,2000,male,0,1,3,4
794,South Africa,2000,male,0,1,2,3
795,Kingdom of Saudi Arabia,2000,male,0,1,1,2
796,Republic of Moldova,2000,male,0,1,1,2
797,Slovakia,2000,male,0,1,1,2
798,Trinidad and Tobago,2000,male,0,1,1,2
799,Argentina,2000,male,0,1,0,1
800,Belgium,2000,male,0,1,0,1
801,Indonesia,2000,male,0,1,0,1
802,Uruguay,2000,male,0,1,0,1
803,Georgia,2000,male,0,0,6,6
804,Democratic People's Republic of Korea,2000,male,0,0,2,2
805,Armenia,2000,male,0,0,1,1
806,Barbados,2000,male,0,0,1,1
807,Chinese Taipei,2000,male,0,0,1,1
808,Israel,2000,male,0,0,1,1
809,Jamaica,2000,male,0,0,1,1
810,Kuwait,2000,male,0,0,1,1
811,Kyrgyzstan,2000,male,0,0,1,1
812,North Macedonia,2000,male,0,0,1,1
813,Portugal,2000,male,0,0,1,1
814,Qatar,2000,male,0,0,1,1
815,Russian Federation,2004,male,17,10,19,46
816,United States,2004,male,15,13,13,41
817,Cuba,2004,male,8,6,4,18
818,People's Republic of China,2004,male,8,4,5,17
819,France,2004,male,6,6,5,17
820,Great Britain,2004,male,6,4,1,11
821,Germany,2004,male,5,10,8,23
822,Australia,2004,male,4,10,6,20
823,Italy,2004,male,4,3,6,13
824,Greece,2004,male,4,3,1,8
825,Netherlands,2004,male,4,1,2,7
826,Republic of Korea,2004,male,3,6,3,12
827,Bulgaria,2004,male,3,5,2,10
828,Japan,2004,male,3,2,0,5
829,Poland,2004,male,3,1,1,5
830,Sweden,2004,male,3,1,1,5
831,Ethiopia,2004,male,3,0,2,5
832,Islamic Republic of Iran,2004,male,3,0,1,4
833,Türkiye,2004,male,3,0,1,4
834,Kazakhstan,2004,male,2,4,0,6
835,Kenya,2004,male,2,3,1,6
836,Hungary,2004,male,2,2,1,5
837,Spain,2004,male,2,2,0,4
838,Canada,2004,male,2,1,3,6
839,Romania,2004,male,2,1,2,5
840,Norway,2004,male,2,0,1,3
841,Ukraine,2004,male,1,5,6,12
842,Czechia,2004,male,1,3,2,6
843,Uzbekistan,2004,male,1,1,2,4
844,Finland,2004,male,1,1,1,3
845,Latvia,2004,male,1,1,1,3
846,Estonia,2004,male,1,0,2,3
847,New Zealand,2004,male,1,0,2,3
848,Azerbaijan,2004,male,1,0,1,2
849,Thailand,2004,male,1,0,1,2
850,Austria,2004,male,1,0,0,1
851,Croatia,2004,male,1,0,0,1
852,Lithuania,2004,male,1,0,0,1
853,Slovenia,2004,male,1,0,0,1
854,Brazil,2004,male,0,3,0,3
855,Mexico,2004,male,0,2,3,5
856,Switzerland,2004,male,0,2,1,3
857,Denmark,2004,male,0,2,0,2
858,Belarus,2004,male,0,1,8,9
859,Algeria,2004,male,0,1,3,4
860,Morocco,2004,male,0,1,3,4
861,South Africa,2004,male,0,1,2,3
862,Kingdom of Saudi Arabia,2004,male,0,1,1,2
863,Republic of Moldova,2004,male,0,1,1,2
864,Slovakia,2004,male,0,1,1,2
865,Trinidad and Tobago,2004,male,0,1,1,2
866,Argentina,2004,male,0,1,0,1
867,Belgium,2004,male,0,1,0,1
868,Indonesia,2004,male,0,1,0,1
869,Uruguay,2004,male,0,1,0,1
870,Georgia,2004,male,0,0,6,6
871,Democratic People's Republic of Korea,2004,male,0,0,2,2
872,Armenia,2004,male,0,0,1,1
873,Barbados,2004,male,0,0,1,1
874,Chinese Taipei,2004,male,0,0,1,1
875,Israel,2004,male,0,0,1,1
876,Jamaica,2004,male,0,0,1,1
877,Kuwait,2004,male,0,0,1,1
878,Kyrgyzstan,2004,male,0,0,1,1
879,North Macedonia,2004,male,0,0,1,1
880,Portugal,2004,male,0,0,1,1
881,Qatar,2004,male,0,0,1,1
882,United States,2008,male,18,20,9,47
883,Russian Federation,2008,male,15,9,19,43
884,People's Republic of China,2008,male,9,5,5,19
885,Italy,2008,male,7,2,4,13
886,Japan,2008,male,6,4,5,15
887,Cuba,2008,male,6,3,5,14
888,Australia,2008,male,5,4,6,15
889,Republic of Korea,2008,male,4,6,5,15
890,France,2008,male,4,2,4,10
891,Great Britain,2008,male,4,2,4,10
892,Germany,2008,male,3,2,9,14
893,Ukraine,2008,male,3,2,2,7
894,Norway,2008,male,3,0,0,3
895,Spain,2008,male,2,6,3,11
896,Türkiye,2008,male,2,3,4,9
897,Greece,2008,male,2,2,2,6
898,Islamic Republic of Iran,2008,male,2,2,2,6
899,Georgia,2008,male,2,2,0,4
900,Uzbekistan,2008,male,2,1,2,5
901,Canada,2008,male,2,1,1,4
902,Sweden,2008,male,2,1,0,3
903,Brazil,2008,male,2,0,3,5
904,Morocco,2008,male,2,0,0,2
905,Kazakhstan,2008,male,1,4,3,8
906,Belarus,2008,male,1,3,2,6
907,Hungary,2008,male,1,3,2,6
908,Netherlands,2008,male,1,2,3,6
909,Kenya,2008,male,1,2,2,5
910,Ethiopia,2008,male,1,2,0,3
911,New Zealand,2008,male,1,2,0,3
912,Bulgaria,2008,male,1,1,6,8
913,Egypt,2008,male,1,1,3,5
914,Thailand,2008,male,1,1,1,3
915,Chinese Taipei,2008,male,1,1,0,2
916,Lithuania,2008,male,1,1,0,2
917,Azerbaijan,2008,male,1,0,2,3
918,Czechia,2008,male,1,0,2,3
919,Chile,2008,male,1,0,1,2
920,Indonesia,2008,male,1,0,1,2
921,Israel,2008,male,1,0,1,2
922,Poland,2008,male,1,0,1,2
923,Switzerland,2008,male,1,0,1,2
924,Dominican Republic,2008,male,1,0,0,1
925,United Arab Emirates,2008,male,1,0,0,1
926,Romania,2008,male,0,3,3,6
927,Austria,2008,male,0,3,1,4
928,Latvia,2008,male,0,3,0,3
929,Portugal,2008,male,0,2,1,3
930,Slovakia,2008,male,0,2,1,3
931,South Africa,2008,male,0,2,1,3
932,Finland,2008,male,0,2,0,2
933,Estonia,2008,male,0,1,2,3
934,Croatia,2008,male,0,1,1,2
935,Democratic People's Republic of Korea,2008,male,0,1,1,2
936,Denmark,2008,male,0,1,1,2
937,India,2008,male,0,1,0,1
938,Jamaica,2008,male,0,1,0,1
939,Mexico,2008,male,0,1,0,1
940,Belgium,2008,male,0,0,1,1
941,Eritrea,2008,male,0,0,1,1
942,Mongolia,2008,male,0,0,1,1
943,Slovenia,2008,male,0,0,1,1
944,Syrian Arab Republic,2008,male,0,0,1,1
945,Trinidad and Tobago,2008,male,0,0,1,1
946,Venezuela,2008,male,0,0,1,1
947,United States,2012,male,14,10,11,35
948,Great Britain,2012,male,13,5,8,26
949,People's Republic of China,2012,male,12,9,9,30
950,Russian Federation,2012,male,9,7,11,27
951,Republic of Korea,2012,male,7,7,3,17
952,Islamic Republic of Iran,2012,male,7,5,1,13
953,France,2012,male,5,3,4,12
954,Hungary,2012,male,4,2,4,10
955,Cuba,2012,male,4,1,6,11
956,Germany,2012,male,3,10,6,19
957,Italy,2012,male,3,6,5,14
958,Japan,2012,male,3,5,10,18
959,Ukraine,2012,male,3,2,3,8
960,Australia,2012,male,2,4,1,7
961,Jamaica,2012,male,2,2,2,6
962,Czechia,2012,male,2,2,1,5
963,Azerbaijan,2012,male,2,1,4,7
964,Kazakhstan,2012,male,2,1,4,7
965,Kenya,2012,male,2,1,4,7
966,Poland,2012,male,2,1,3,6
967,Netherlands,2012,male,2,1,2,5
968,South Africa,2012,male,2,1,0,3
969,Democratic People's Republic of Korea,2012,male,2,0,2,4
970,Spain,2012,male,1,4,1,6
971,Brazil,2012,male,1,2,4,7
972,Georgia,2012,male,1,2,3,6
973,Denmark,2012,male,1,2,0,3
974,Switzerland,2012,male,1,2,0,3
975,Norway,2012,male,1,1,1,3
976,Dominican Republic,2012,male,1,1,0,2
977,Argentina,2012,male,1,0,1,2
978,New Zealand,2012,male,1,0,1,2
979,Trinidad and Tobago,2012,male,1,0,1,2
980,Tunisia,2012,male,1,0,1,2
981,Türkiye,2012,male,1,0,1,2
982,Algeria,2012,male,1,0,0,1
983,Belarus,2012,male,1,0,0,1
984,Croatia,2012,male,1,0,0,1
985,Grenada,2012,male,1,0,0,1
986,Latvia,2012,male,1,0,0,1
987,Romania,2012,male,1,0,0,1
988,Uganda,2012,male,1,0,0,1
989,Venezuela,2012,male,1,0,0,1
990,Canada,2012,male,0,3,5,8
991,Colombia,2012,male,0,2,2,4
992,India,2012,male,0,2,2,4
993,Mongolia,2012,male,0,2,2,4
994,Egypt,2012,male,0,2,1,3
995,Ireland,2012,male,0,1,4,5
996,Sweden,2012,male,0,1,3,4
997,Armenia,2012,male,0,1,1,2
998,Estonia,2012,male,0,1,1,2
999,Ethiopia,2012,male,0,1,1,2
1000,Indonesia,2012,male,0,1,1,2
1001,Puerto Rico,2012,male,0,1,1,2
1002,Qatar,2012,male,0,1,1,2
1003,Slovenia,2012,male,0,1,1,2
1004,Belgium,2012,male,0,1,0,1
1005,Botswana,2012,male,0,1,0,1
1006,Cyprus,2012,male,0,1,0,1
1007,Finland,2012,male,0,1,0,1
1008,Gabon,2012,male,0,1,0,1
1009,Guatemala,2012,male,0,1,0,1
1010,Malaysia,2012,male,0,1,0,1
1011,Thailand,2012,male,0,1,0,1
1012,Uzbekistan,2012,male,0,0,3,3
1013,Lithuania,2012,male,0,0,2,2
1014,Afghanistan,2012,male,0,0,1,1
1015,Bulgaria,2012,male,0,0,1,1
1016,Greece,2012,male,0,0,1,1
1017,Kuwait,2012,male,0,0,1,1
1018,Morocco,2012,male,0,0,1,1
1019,Serbia,2012,male,0,0,1,1
1020,Slovakia,2012,male,0,0,1,1
1021,Vietnam,2012,male,0,0,1,1
1022,Great Britain,2016,male,14,8,7,29
1023,United States,2016,male,13,15,17,45
1024,People's Republic of China,2016,male,9,7,7,23
1025,Russian Federation,2016,male,8,4,13,25
1026,Italy,2016,male,7,2,3,12
1027,Germany,2016,male,7,0,5,12
1028,Cuba,2016,male,5,1,3,9
1029,Japan,2016,male,4,5,10,19
1030,Uzbekistan,2016,male,4,2,7,13
1031,France,2016,male,3,8,10,21
1032,Kenya,2016,male,3,3,0,6
1033,Republic of Korea,2016,male,3,2,6,11
1034,Australia,2016,male,3,2,1,6
1035,Islamic Republic of Iran,2016,male,3,1,3,7
1036,Jamaica,2016,male,3,0,0,3
1037,Brazil,2016,male,2,4,4,10
1038,Ukraine,2016,male,2,4,1,7
1039,Kazakhstan,2016,male,2,3,4,9
1040,Netherlands,2016,male,2,3,0,5
1041,Georgia,2016,male,2,1,4,7
1042,Switzerland,2016,male,2,0,0,2
1043,Azerbaijan,2016,male,1,6,7,14
1044,South Africa,2016,male,1,4,1,6
1045,Türkiye,2016,male,1,3,3,7
1046,Armenia,2016,male,1,3,0,4
1047,Belarus,2016,male,1,2,2,5
1048,Czechia,2016,male,1,2,2,5
1049,Croatia,2016,male,1,2,1,4
1050,Hungary,2016,male,1,2,1,4
1051,Canada,2016,male,1,1,3,5
1052,Spain,2016,male,1,1,3,5
1053,Colombia,2016,male,1,1,2,4
1054,Belgium,2016,male,1,1,1,3
1055,Democratic People's Republic of Korea,2016,male,1,1,1,3
1056,Greece,2016,male,1,1,0,2
1057,Slovakia,2016,male,1,1,0,2
1058,Vietnam,2016,male,1,1,0,2
1059,New Zealand,2016,male,1,0,3,4
1060,Independent Olympic Athletes,2016,male,1,0,1,2
1061,Côte d'Ivoire,2016,male,1,0,0,1
1062,Jordan,2016,male,1,0,0,1
1063,Serbia,2016,male,1,0,0,1
1064,Singapore,2016,male,1,0,0,1
1065,Tajikistan,2016,male,1,0,0,1
1066,Sweden,2016,male,0,3,0,3
1067,Denmark,2016,male,0,2,2,4
1068,Algeria,2016,male,0,2,0,2
1069,Slovenia,2016,male,0,2,0,2
1070,Ethiopia,2016,male,0,1,2,3
1071,Mexico,2016,male,0,1,2,3
1072,Poland,2016,male,0,1,2,3
1073,Malaysia,2016,male,0,1,1,2
1074,Thailand,2016,male,0,1,1,2
1075,Argentina,2016,male,0,1,0,1
1076,Grenada,2016,male,0,1,0,1
1077,Indonesia,2016,male,0,1,0,1
1078,Niger,2016,male,0,1,0,1
1079,Qatar,2016,male,0,1,0,1
1080,Venezuela,2016,male,0,1,0,1
1081,Dominican Republic,2016,male,0,0,1,1
1082,Egypt,2016,male,0,0,1,1
1083,Israel,2016,male,0,0,1,1
1084,Lithuania,2016,male,0,0,1,1
1085,Mongolia,2016,male,0,0,1,1
1086,Morocco,2016,male,0,0,1,1
1087,Norway,2016,male,0,0,1,1
1088,Romania,2016,male,0,0,1,1
1089,Trinidad and Tobago,2016,male,0,0,1,1
1090,Tunisia,2016,male,0,0,1,1
1091,United Arab Emirates,2016,male,0,0,1,1
1092,United States,2020,male,12,13,9,34
1093,People's Republic of China,2020,male,11,10,7,28
1094,Great Britain,2020,male,10,8,9,27
1095,Japan,2020,male,10,4,6,20
1096,ROC,2020,male,9,5,13,27
1097,Cuba,2020,male,6,2,4,12
1098,Hungary,2020,male,5,6,2,13
1099,Italy,2020,male,5,5,7,17
1100,Australia,2020,male,4,2,6,12
1101,Netherlands,2020,male,3,5,2,10
1102,Czechia,2020,male,3,3,2,8
1103,France,2020,male,3,3,2,8
1104,Brazil,2020,male,3,2,6,11
1105,Islamic Republic of Iran,2020,male,3,2,2,7
1106,Norway,2020,male,3,2,1,6
1107,Uzbekistan,2020,male,3,0,2,5
1108,Georgia,2020,male,2,5,1,8
1109,Germany,2020,male,2,3,6,11
1110,Kenya,2020,male,2,2,1,5
1111,Sweden,2020,male,2,2,0,4
1112,Canada,2020,male,2,1,2,5
1113,Poland,2020,male,2,0,3,5
1114,Greece,2020,male,2,0,1,3
1115,Slovenia,2020,male,2,0,1,3
1116,Qatar,2020,male,2,0,0,2
1117,Ukraine,2020,male,1,3,3,7
1118,Spain,2020,male,1,2,3,6
1119,Republic of Korea,2020,male,1,1,6,8
1120,Türkiye,2020,male,1,1,6,8
1121,Belarus,2020,male,1,1,1,3
1122,India,2020,male,1,1,1,3
1123,Uganda,2020,male,1,1,1,3
1124,Denmark,2020,male,1,1,0,2
1125,Ethiopia,2020,male,1,1,0,2
1126,Tunisia,2020,male,1,1,0,2
1127,Portugal,2020,male,1,0,2,3
1128,Jamaica,2020,male,1,0,1,2
1129,Ecuador,2020,male,1,0,0,1
1130,"Hong Kong, China",2020,male,1,0,0,1
1131,Israel,2020,male,1,0,0,1
1132,Morocco,2020,male,1,0,0,1
1133,The Bahamas,2020,male,1,0,0,1
1134,Venezuela,2020,male,0,3,0,3
1135,Armenia,2020,male,0,2,2,4
1136,Azerbaijan,2020,male,0,2,2,4
1137,Croatia,2020,male,0,2,2,4
1138,Chinese Taipei,2020,male,0,2,1,3
1139,Colombia,2020,male,0,2,1,3
1140,Slovakia,2020,male,0,2,0,2
1141,New Zealand,2020,male,0,1,4,5
1142,Belgium,2020,male,0,1,2,3
1143,Egypt,2020,male,0,1,2,3
1144,Indonesia,2020,male,0,1,2,3
1145,Serbia,2020,male,0,1,2,3
1146,Switzerland,2020,male,0,1,2,3
1147,Jordan,2020,male,0,1,1,2
1148,Mongolia,2020,male,0,1,1,2
1149,Philippines,2020,male,0,1,1,2
1150,Dominican Republic,2020,male,0,1,0,1
1151,Kingdom of Saudi Arabia,2020,male,0,1,0,1
1152,Kyrgyzstan,2020,male,0,1,0,1
1153,Malaysia,2020,male,0,1,0,1
1154,North Macedonia,2020,male,0,1,0,1
1155,Kazakhstan,2020,male,0,0,6,6
1156,Austria,2020,male,0,0,3,3
1157,Burkina Faso,2020,male,0,0,1,1
1158,Finland,2020,male,0,0,1,1
1159,Ghana,2020,male,0,0,1,1
1160,Grenada,2020,male,0,0,1,1
1161,Ireland,2020,male,0,0,1,1
1162,Kuwait,2020,male,0,0,1,1
1163,Latvia,2020,male,0,0,1,1
1164,Republic of Moldova,2020,male,0,0,1,1
1165,San Marino,2020,male,0,0,1,1
1166,Syrian Arab Republic,2020,male,0,0,1,1
